zipcode,population,pop_density,income,latitude,longitude
32789,24557,3147.929753,73938.4426,28.5978,-81.3534
32792,46914,3816.628702,45745.7203,28.5974,-81.3036
32801,12050,5273.522976,27798.8516,28.5399,-81.3727
32803,19020,2735.903337,55839.2906,28.5559,-81.3535
32804,17312,2364.058446,57793.8146,28.5754,-81.3955
32805,21810,3277.235162,27620.3283,28.5302,-81.4045
32806,24820,3726.167242,53832.8962,28.514,-81.357
32807,31465,3892.256309,40232.1299,28.5515,-81.3051
32808,46334,3868.904476,36308.1834,28.5803,-81.4396
32809,26773,2581.027668,42157.7748,28.4637,-81.3948
32811,35825,4312.627904,36316.7333,28.5163,-81.4516
32812,32844,3808.0,45653.6469,28.4998,-81.3288
32814,6151,4656.320969,63540.0,28.5702,-81.3265
32817,35105,3123.220641,46428.6437,28.5891,-81.2277
32818,43911,3811.057108,45625.1116,28.5801,-81.4846
32819,24976,1208.789081,80419.0567,28.4522,-81.4678
32821,21423,1917.04698,47244.5161,28.3957,-81.4666
32822,53029,3997.361676,42767.9133,28.4944,-81.2902
32824,37401,1207.223782,49415.8646,28.3932,-81.3622
32825,53024,1841.302913,55274.2878,28.5469,-81.2571
32826,29347,3049.672659,49457.648,28.5826,-81.1907
32827,6362,272.3808708,73291.0399,28.4317,-81.343
32828,57881,2708.643362,67869.3185,28.5523,-81.1795
32829,17822,1813.574845,62843.8887,28.4671,-81.2417
32831,2542,254.5563789,67206.0,28.4656,-81.151
32832,13787,244.8932467,78229.0,28.3774,-81.1888
32835,39633,4235.652453,58298.2656,28.5289,-81.4787
32836,16647,1063.162601,97804.2378,28.4115,-81.525
32837,51219,2277.614728,60996.7092,28.3949,-81.4179
32839,50279,6749.765069,37614.441,28.4871,-81.4082
